# Fitting results – type=cross, col=Fn, range=(0.0, 8.0)
n_spheres	a	beta	a_err	beta_err	reduced_chi2
3	0.393061	0.659659	0.018335	0.016443	0.179119
4	0.411496	0.674269	0.020134	0.017408	0.134607
5	0.400700	0.667729	0.026196	0.020425	0.088552
6	0.421642	0.680590	0.020083	0.016833	0.147698
7	0.435953	0.689726	0.020261	0.017034	0.092131
8	0.430982	0.688634	0.020117	0.016832	0.154089
9	0.411246	0.675329	0.027713	0.020755	0.058025
10	0.432226	0.688103	0.020551	0.016948	0.117674
11	0.432870	0.687588	0.019501	0.016522	0.136232
12	0.437436	0.692820	0.020820	0.017139	0.156321
32	0.442071	0.694611	0.019565	0.016187	0.130069
