# Fitting results – type=cross, col=Ft, range=(0.0, 8.0)
n_spheres	a	beta	a_err	beta_err	reduced_chi2
3	0.380999	0.649201	0.017501	0.016070	0.222889
4	0.401922	0.666620	0.018727	0.016490	0.180348
5	0.391130	0.659233	0.024492	0.019674	0.128008
6	0.414763	0.675625	0.018635	0.016359	0.204093
7	0.418047	0.675837	0.019365	0.016619	0.148361
8	0.416314	0.677571	0.019077	0.016520	0.200425
9	0.393732	0.661047	0.026197	0.020120	0.090373
10	0.419311	0.678214	0.019348	0.016758	0.181556
11	0.418382	0.677418	0.019164	0.016596	0.169488
12	0.423852	0.682576	0.019474	0.016766	0.187388
32	0.424351	0.682895	0.019302	0.016453	0.181618
