# Fitting results – type=rod, col=Fn, range=(0.0, 8.0)
n_spheres	a	beta	a_err	beta_err	reduced_chi2
3	0.376765	0.647713	0.022718	0.017690	0.097754
4	0.413813	0.675359	0.024720	0.017823	0.084547
5	0.437342	0.690320	0.017256	0.013960	0.137399
6	0.445225	0.696361	0.017741	0.014240	0.157747
7	0.447669	0.696919	0.017167	0.013888	0.116371
8	0.444826	0.694603	0.016860	0.013950	0.149439
9	0.452924	0.701723	0.017752	0.014307	0.150658
10	0.454515	0.701540	0.016637	0.013730	0.185163
11	0.446890	0.696301	0.016630	0.013510	0.154934
12	0.444252	0.694891	0.016697	0.013710	0.185580
32	0.419304	0.677937	0.014907	0.012729	0.260041
