# Fitting results – type=rod, col=Ft, range=(0.0, 8.0)
n_spheres	a	beta	a_err	beta_err	reduced_chi2
3	0.374111	0.644161	0.022668	0.017532	0.098117
4	0.414015	0.673816	0.024547	0.017668	0.089134
5	0.439886	0.689869	0.016333	0.013408	0.160740
6	0.452913	0.699569	0.016986	0.013696	0.184845
7	0.450886	0.696722	0.016811	0.013492	0.124725
8	0.453346	0.698787	0.016599	0.013374	0.154927
9	0.457124	0.703062	0.017438	0.014018	0.170273
10	0.454950	0.700299	0.016773	0.013617	0.132053
11	0.451172	0.697383	0.016881	0.013850	0.167441
12	0.453399	0.699409	0.016338	0.013324	0.176274
32	0.420300	0.677150	0.014484	0.012395	0.252994
