# Fitting results – type=star, col=Fn, range=(0.0, 8.0)
n_spheres	a	beta	a_err	beta_err	reduced_chi2
3	0.308904	0.598134	0.017599	0.019110	0.291880
4	0.301335	0.598371	0.017839	0.019893	0.406693
5	0.319506	0.609816	0.019062	0.020085	0.332985
6	0.327935	0.617846	0.018942	0.019827	0.345860
7	0.312068	0.606033	0.024117	0.023447	0.180822
8	0.317611	0.612914	0.020404	0.021593	0.309037
9	0.331935	0.620710	0.019020	0.019807	0.331638
10	0.323269	0.613655	0.018869	0.019646	0.331889
11	0.338045	0.625445	0.019319	0.019708	0.356596
12	0.337032	0.625943	0.018694	0.019704	0.348315
32	0.348513	0.640315	0.020780	0.020871	0.356078
