# Fitting results – type=star, col=Ft, range=(0.0, 8.0)
n_spheres	a	beta	a_err	beta_err	reduced_chi2
3	0.294470	0.587014	0.016578	0.019258	0.281299
4	0.291608	0.588084	0.016876	0.019391	0.409129
5	0.312403	0.605314	0.017590	0.019553	0.372682
6	0.311438	0.603731	0.017435	0.019498	0.373870
7	0.291203	0.587645	0.022231	0.023070	0.199020
8	0.305604	0.601982	0.018392	0.020473	0.376349
9	0.308933	0.601636	0.017932	0.019736	0.344848
10	0.308708	0.601816	0.017974	0.019671	0.345620
11	0.312125	0.603993	0.018383	0.019824	0.321858
12	0.315408	0.608668	0.017751	0.019700	0.327530
32	0.326094	0.620487	0.019182	0.020097	0.345443
