type,n_spheres,value_col,a,a_err,beta,beta_err,reduced_chi2
rod,3,Fn,0.37676461725047494,0.022718381973516933,0.6477134161884541,0.017690171690833374,0.09775354510846597
rod,4,Fn,0.4138132361721771,0.02472017624389796,0.6753588863702642,0.017822822242558586,0.08454673116220551
rod,5,Fn,0.4373415434502006,0.017255823799865407,0.6903203352513309,0.013959714310512275,0.13739921804396604
rod,6,Fn,0.44522471800270996,0.01774115563758213,0.6963606388596193,0.014239593205250102,0.15774680592010726
rod,7,Fn,0.4476693821380397,0.017166694252909974,0.6969188413192787,0.013888320533132931,0.1163712905271111
rod,8,Fn,0.44482559635624586,0.016859503275453897,0.694602866416714,0.013950347392223662,0.14943909226748492
rod,9,Fn,0.45292424856049424,0.017751873572033162,0.7017234542206825,0.014306915615578649,0.15065789351647746
rod,10,Fn,0.454514633776257,0.016636543631450663,0.7015403452293556,0.013730324343388433,0.18516319850452706
rod,11,Fn,0.4468902062032045,0.016629987774095068,0.6963011410771807,0.01350972129515147,0.15493410611219033
rod,12,Fn,0.44425191727954394,0.01669684868661899,0.6948907976515042,0.01371015375668006,0.1855802787401769
rod,32,Fn,0.4192617965364514,0.014845541090478453,0.6778691587741189,0.012698094460512337,0.25840889385600935
cross,3,Fn,0.39306062236199785,0.018335169061238835,0.659659210443619,0.016443191949753574,0.17911884693564845
cross,4,Fn,0.41149603057606843,0.020133500889006575,0.6742689718332467,0.017408160062559703,0.1346072116782285
cross,5,Fn,0.40069982240463464,0.026196108480382636,0.6677291558473964,0.02042535267117685,0.08855162609643358
cross,6,Fn,0.4216417122672004,0.02008318985577034,0.6805904868801376,0.016833454495365833,0.14769844028886991
cross,7,Fn,0.43595313340626374,0.020260741003366122,0.6897261718273173,0.017033523012358505,0.09213059695068175
cross,8,Fn,0.43098187894056417,0.020117188292356505,0.6886339235255128,0.01683205123630335,0.1540890978531428
cross,9,Fn,0.4112460714810473,0.02771317167594228,0.6753288967449131,0.0207546392321835,0.05802468403774451
cross,10,Fn,0.4322255734623853,0.020551339575036225,0.6881027469310135,0.016948014556831835,0.11767440253875369
cross,11,Fn,0.43286981765373966,0.019501017468319313,0.6875875011987964,0.01652170120359312,0.13623175120213127
cross,12,Fn,0.43743559208870536,0.020819985965798656,0.6928200789403554,0.01713928899085145,0.1563212976309687
cross,32,Fn,0.4420709028437338,0.019564649338352107,0.6946111785595857,0.01618670433026967,0.1300688774235559
star,3,Fn,0.3089039934662108,0.01759944646039545,0.5981335136012945,0.01910955176836325,0.2918803746078979
star,4,Fn,0.3013351866850346,0.017839342106410565,0.5983707580793998,0.01989293125190309,0.4066934341110949
star,5,Fn,0.31950613433411196,0.01906168898581673,0.6098162772742607,0.020084583364710158,0.33298458948786636
star,6,Fn,0.3279352554785232,0.018942259870916665,0.6178461129527465,0.01982692661507017,0.3458601521885649
star,7,Fn,0.312068292487693,0.024117338119573593,0.6060327988750707,0.023446611472463366,0.18082213327323118
star,8,Fn,0.31761134865302937,0.02040405621361133,0.6129135023394116,0.0215932446154428,0.3090372423965333
star,9,Fn,0.3319347992450136,0.019020418311433925,0.6207104937417997,0.019807085343560803,0.33163758223652623
star,10,Fn,0.3232685415511251,0.018868763833326647,0.6136547560437313,0.019646231572352152,0.33188939872294826
star,11,Fn,0.3380447732817756,0.01931889768518316,0.6254448728429377,0.01970833980414473,0.3565958401678808
star,12,Fn,0.3370322490678905,0.01869420771843579,0.6259427252204766,0.01970395690247154,0.3483152100010725
star,32,Fn,0.34851251528901683,0.020779766197339504,0.640314519448345,0.02087135213935019,0.3560782721678194
rod,3,Ft,0.3741107596177533,0.022668483310048722,0.6441607282360646,0.01753243241041882,0.09811718034510937
rod,4,Ft,0.41401533082669123,0.024547290246701436,0.6738156746647596,0.017668015114736146,0.08913425831327736
rod,5,Ft,0.43988629918667865,0.016332586753005487,0.6898688386369101,0.013408369877191906,0.1607396738581131
rod,6,Ft,0.45291285040779744,0.016985585572299927,0.6995688765192055,0.01369640284221347,0.18484490674897078
rod,7,Ft,0.45088587651598,0.01681050046397937,0.6967219303054102,0.013492435800832453,0.12472508427564438
rod,8,Ft,0.4533464337638923,0.016599279518061175,0.698787044871334,0.013374397271984933,0.1549270116395324
rod,9,Ft,0.45712428025708923,0.01743808604074243,0.7030622431612994,0.014017851003373391,0.17027347025019765
rod,10,Ft,0.45494997223430395,0.016772631899427605,0.7002989006487338,0.013617043099573217,0.13205253338267353
rod,11,Ft,0.45117237025981527,0.016881408165659847,0.6973827859601216,0.013850469547050064,0.167441051646409
rod,12,Ft,0.45339853019732296,0.01633810768688503,0.6994092662103736,0.013323934884082468,0.17627404441709107
rod,32,Ft,0.4203003570132416,0.014483731016135488,0.6771502114703938,0.012394854158482347,0.25299401988318143
cross,3,Ft,0.3809993681389068,0.017501385125352337,0.6492005446307818,0.01606976739257633,0.2228888974776101
cross,4,Ft,0.4019223425341822,0.0187274554422395,0.6666197859960524,0.01649005818103408,0.18034821851417032
cross,5,Ft,0.3911296883391083,0.0244923828399092,0.6592330637809088,0.019673610340920838,0.12800802266093983
cross,6,Ft,0.41476291480044336,0.018634941265625246,0.6756254091675709,0.016359074437894715,0.2040931031069262
cross,7,Ft,0.41804661144727795,0.019364587496752392,0.6758368361704324,0.016619170476423844,0.14836086720186512
cross,8,Ft,0.4163135309182151,0.019076630139842277,0.6775714106091124,0.016519601705314062,0.20042545824552271
cross,9,Ft,0.3937321606934586,0.026197281791362634,0.6610472015746872,0.02011992602923897,0.09037349382139769
cross,10,Ft,0.41931144339230175,0.01934789575946526,0.6782143067031974,0.01675822117234295,0.18155573337656072
cross,11,Ft,0.41838217496086477,0.019163502410806336,0.6774180891102843,0.016595667346497582,0.16948755452843534
cross,12,Ft,0.42385187819092296,0.019474121046029382,0.6825760191167443,0.01676582450903314,0.18738848462652233
cross,32,Ft,0.4243505932711512,0.019301629443015222,0.6828948751501746,0.01645337120662015,0.181618440179944
star,3,Ft,0.2944703431365212,0.016578297601754353,0.5870144609245489,0.019258480955219554,0.28129931098836514
star,4,Ft,0.29160778829624684,0.01687576483211142,0.588084216858026,0.019391178025581,0.40912942403189867
star,5,Ft,0.3124030680421097,0.017589945107141357,0.6053143814216875,0.019553313406340284,0.37268191020396885
star,6,Ft,0.3114378175627224,0.017435433927878986,0.6037307535694688,0.01949843813676899,0.37386957117881814
star,7,Ft,0.2912034759831174,0.022231424978205336,0.5876445554124989,0.023069565753774175,0.1990196210159259
star,8,Ft,0.30560391905719386,0.018391845274963913,0.6019823241937025,0.020473167074553305,0.37634940027315
star,9,Ft,0.3089328973038815,0.017932049119485025,0.6016364143854182,0.019735965261796006,0.3448484931953694
star,10,Ft,0.3087082075713215,0.017973655155623627,0.6018159706645423,0.019670520888543916,0.3456199249020504
star,11,Ft,0.31212533493904426,0.018383094721589773,0.6039932606842644,0.019823977549003228,0.321858463530232
