facet,hue,bin_center,mean_density,error,n_seeds,original_n_seeds
cross,3,1.81359e-08,22320530.0,276045.0,1,100
cross,3,5.44077e-08,0.0,0.0,0,100
cross,3,9.067949e-08,0.0,0.0,0,100
cross,3,1.269513e-07,0.0,0.0,0,100
cross,3,1.632231e-07,0.0,0.0,0,100
cross,3,1.994949e-07,0.0,0.0,0,100
cross,3,2.357667e-07,0.0,0.0,0,100
cross,3,2.720385e-07,0.0,0.0,0,100
cross,3,3.083103e-07,0.0,0.0,0,100
cross,3,3.445821e-07,0.0,0.0,0,100
cross,3,3.808539e-07,0.0,0.0,0,100
cross,3,4.171257e-07,0.0,0.0,0,100
cross,3,4.533975e-07,0.0,0.0,0,100
cross,3,4.896693e-07,0.0,0.0,0,100
cross,3,5.259411e-07,0.0,0.0,0,100
cross,3,5.622129e-07,0.0,0.0,0,100
cross,3,5.984847e-07,0.0,0.0,0,100
cross,3,6.347564e-07,0.0,0.0,0,100
cross,3,6.710282e-07,0.0,0.0,0,100
cross,3,7.073e-07,0.0,0.0,0,100
cross,3,7.435718e-07,0.0,0.0,0,100
cross,3,7.798436e-07,0.0,0.0,0,100
cross,3,8.161154e-07,0.0,0.0,0,100
cross,3,8.523872e-07,0.0,0.0,0,100
cross,3,8.88659e-07,0.0,0.0,0,100
cross,3,9.249308e-07,0.0,0.0,0,100
cross,3,9.612026e-07,0.0,0.0,0,100
cross,3,9.974744e-07,0.0,0.0,0,100
cross,3,1.033746e-06,0.0,0.0,0,100
cross,3,1.070018e-06,0.0,0.0,0,100
cross,3,1.10629e-06,0.0,0.0,0,100
cross,3,1.142562e-06,0.0,0.0,0,100
cross,3,1.178833e-06,0.0,0.0,0,100
cross,3,1.215105e-06,0.0,0.0,0,100
cross,3,1.251377e-06,0.0,0.0,0,100
cross,3,1.287649e-06,0.0,0.0,0,100
cross,3,1.323921e-06,0.0,0.0,0,100
cross,3,1.360192e-06,0.0,0.0,0,100
cross,3,1.396464e-06,0.0,0.0,0,100
cross,3,1.432736e-06,0.0,0.0,0,100
cross,3,1.469008e-06,0.0,0.0,0,100
cross,3,1.50528e-06,0.0,0.0,0,100
cross,3,1.541551e-06,0.0,0.0,0,100
cross,3,1.577823e-06,0.0,0.0,0,100
cross,3,1.614095e-06,0.0,0.0,0,100
cross,3,1.650367e-06,0.0,0.0,0,100
cross,3,1.686639e-06,0.0,0.0,0,100
cross,3,1.72291e-06,0.0,0.0,0,100
cross,3,1.759182e-06,0.0,0.0,0,100
cross,3,1.795454e-06,0.0,0.0,0,100
cross,3,1.831726e-06,0.0,0.0,0,100
cross,3,1.867998e-06,0.0,0.0,0,100
cross,3,1.904269e-06,0.0,0.0,0,100
cross,3,1.940541e-06,0.0,0.0,0,100
cross,3,1.976813e-06,0.0,0.0,0,100
cross,3,2.013085e-06,0.0,0.0,0,100
cross,3,2.049357e-06,0.0,0.0,0,100
cross,3,2.085628e-06,0.0,0.0,0,100
cross,3,2.1219e-06,0.0,0.0,0,100
cross,3,2.158172e-06,0.0,0.0,0,100
cross,3,2.194444e-06,0.0,0.0,0,100
cross,3,2.230716e-06,0.0,0.0,0,100
cross,3,2.266987e-06,0.0,0.0,0,100
cross,3,2.303259e-06,0.0,0.0,0,100
cross,3,2.339531e-06,0.0,0.0,0,100
cross,3,2.375803e-06,0.0,0.0,0,100
cross,3,2.412075e-06,0.0,0.0,0,100
cross,3,2.448346e-06,0.0,0.0,0,100
cross,3,2.484618e-06,0.0,0.0,0,100
cross,3,2.52089e-06,0.0,0.0,0,100
cross,3,2.557162e-06,0.0,0.0,0,100
cross,3,2.593433e-06,0.0,0.0,0,100
cross,3,2.629705e-06,0.0,0.0,0,100
cross,3,2.665977e-06,0.0,0.0,0,100
cross,3,2.702249e-06,0.0,0.0,0,100
cross,3,2.738521e-06,0.0,0.0,0,100
cross,3,2.774792e-06,0.0,0.0,0,100
cross,3,2.811064e-06,0.0,0.0,0,100
cross,3,2.847336e-06,0.0,0.0,0,100
cross,3,2.883608e-06,0.0,0.0,0,100
cross,3,2.91988e-06,0.0,0.0,0,100
cross,3,2.956151e-06,0.0,0.0,0,100
cross,3,2.992423e-06,0.0,0.0,0,100
cross,3,3.028695e-06,0.0,0.0,0,100
cross,3,3.064967e-06,0.0,0.0,0,100
cross,3,3.101239e-06,0.0,0.0,0,100
cross,3,3.13751e-06,0.0,0.0,0,100
cross,3,3.173782e-06,0.0,0.0,0,100
cross,3,3.210054e-06,0.0,0.0,0,100
cross,3,3.246326e-06,0.0,0.0,0,100
cross,3,3.282598e-06,0.0,0.0,0,100
cross,3,3.318869e-06,0.0,0.0,0,100
cross,3,3.355141e-06,0.0,0.0,0,100
cross,3,3.391413e-06,0.0,0.0,0,100
cross,3,3.427685e-06,0.0,0.0,0,100
cross,3,3.463957e-06,0.0,0.0,0,100
cross,3,3.500228e-06,0.0,0.0,0,100
